,15826,11608,10802,12981,7772,13254,13255,16106,16107,5457,4841,16891,10531,14017,4592,7782,3074,265,266,10787,5905,5759,6263,17399,17400,10262,7376,15017,16969,15045,15937,7963,250,1584,11847,7199,11593,4139,2777,17543,13998,1068,9885,1164,14669,6143,13873,9209,9210,3592,2140,15537,16920,16921,5300,17362,3228,3229,3230,6229,8812,4878,13538,17584,8123,11026,9200,9201,7081,11118,9889,6675,7980,14410,2858,8299,14961,8082,8716
identificationVerificationStatus_x,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved. Specimen checked by validator.,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Unvalidated,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Unvalidated,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Unvalidated,Unvalidated,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Unvalidated,Unvalidated,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Unvalidated,Approved based on reporters documentation,Approved based on reporters documentation,Approved. Specimen checked by validator.,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation
identificationRemarks_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonID_x,urn:lsid:dyntaxa.se:Taxon:208308,urn:lsid:dyntaxa.se:Taxon:208282,urn:lsid:dyntaxa.se:Taxon:208309,urn:lsid:dyntaxa.se:Taxon:208316,urn:lsid:dyntaxa.se:Taxon:208298,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208282,urn:lsid:dyntaxa.se:Taxon:208282,urn:lsid:dyntaxa.se:Taxon:102918,urn:lsid:dyntaxa.se:Taxon:208319,urn:lsid:dyntaxa.se:Taxon:208290,urn:lsid:dyntaxa.se:Taxon:208270,urn:lsid:dyntaxa.se:Taxon:208289,urn:lsid:dyntaxa.se:Taxon:208299,urn:lsid:dyntaxa.se:Taxon:208290,urn:lsid:dyntaxa.se:Taxon:208294,urn:lsid:dyntaxa.se:Taxon:208298,urn:lsid:dyntaxa.se:Taxon:208298,urn:lsid:dyntaxa.se:Taxon:208314,urn:lsid:dyntaxa.se:Taxon:208278,urn:lsid:dyntaxa.se:Taxon:208311,urn:lsid:dyntaxa.se:Taxon:208276,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208299,urn:lsid:dyntaxa.se:Taxon:208262,urn:lsid:dyntaxa.se:Taxon:208311,urn:lsid:dyntaxa.se:Taxon:208274,urn:lsid:dyntaxa.se:Taxon:208313,urn:lsid:dyntaxa.se:Taxon:208309,urn:lsid:dyntaxa.se:Taxon:208320,urn:lsid:dyntaxa.se:Taxon:226659,urn:lsid:dyntaxa.se:Taxon:208279,urn:lsid:dyntaxa.se:Taxon:208274,urn:lsid:dyntaxa.se:Taxon:208314,urn:lsid:dyntaxa.se:Taxon:208314,urn:lsid:dyntaxa.se:Taxon:102918,urn:lsid:dyntaxa.se:Taxon:208314,urn:lsid:dyntaxa.se:Taxon:208306,urn:lsid:dyntaxa.se:Taxon:208301,urn:lsid:dyntaxa.se:Taxon:208292,urn:lsid:dyntaxa.se:Taxon:208279,urn:lsid:dyntaxa.se:Taxon:208314,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208299,urn:lsid:dyntaxa.se:Taxon:208263,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208267,urn:lsid:dyntaxa.se:Taxon:208262,urn:lsid:dyntaxa.se:Taxon:208309,urn:lsid:dyntaxa.se:Taxon:208267,urn:lsid:dyntaxa.se:Taxon:208267,urn:lsid:dyntaxa.se:Taxon:208290,urn:lsid:dyntaxa.se:Taxon:102918,urn:lsid:dyntaxa.se:Taxon:101868,urn:lsid:dyntaxa.se:Taxon:101868,urn:lsid:dyntaxa.se:Taxon:101868,urn:lsid:dyntaxa.se:Taxon:208277,urn:lsid:dyntaxa.se:Taxon:208313,urn:lsid:dyntaxa.se:Taxon:208300,urn:lsid:dyntaxa.se:Taxon:208320,urn:lsid:dyntaxa.se:Taxon:208263,urn:lsid:dyntaxa.se:Taxon:208290,urn:lsid:dyntaxa.se:Taxon:208263,urn:lsid:dyntaxa.se:Taxon:208302,urn:lsid:dyntaxa.se:Taxon:208302,urn:lsid:dyntaxa.se:Taxon:100912,urn:lsid:dyntaxa.se:Taxon:208309,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208262,urn:lsid:dyntaxa.se:Taxon:208315,urn:lsid:dyntaxa.se:Taxon:208301,urn:lsid:dyntaxa.se:Taxon:208292,urn:lsid:dyntaxa.se:Taxon:208297,urn:lsid:dyntaxa.se:Taxon:208320,urn:lsid:dyntaxa.se:Taxon:208263,urn:lsid:dyntaxa.se:Taxon:208317
scientificNameID_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acceptedNameUsageID_x,1429207,1425216,1429173,1428248,7936251,1424038,1424038,1425216,1425216,1429194,1428345,1425177,1423540,1425240,1429717,1425177,1425146,7936251,7936251,1428686,1421980,1427915,1421974,1424038,1424038,1429717,1427067,1427915,1422001,1427883,1429173,1428217,1423011,5051273,1422001,1428686,1428686,1429194,1428686,1429178,1429969,5051775,5051273,1428686,1424038,1429717,1427037,1424038,1424038,1424045,1427067,1429173,1424045,1424045,1425177,1429194,1424207,1424207,1424207,1421964,1427883,1430023,1428217,1427037,1425177,1427037,1429997,1429997,1430083,1429173,1424038,1427067,1428583,1429969,5051775,1426293,1428217,1427037,1428334
parentNameUsageID_x,urn:lsid:dyntaxa.se:Taxon:1002324,urn:lsid:dyntaxa.se:Taxon:1002312,urn:lsid:dyntaxa.se:Taxon:1002324,urn:lsid:dyntaxa.se:Taxon:1002327,urn:lsid:dyntaxa.se:Taxon:1002320,urn:lsid:dyntaxa.se:Taxon:1002303,urn:lsid:dyntaxa.se:Taxon:1002303,urn:lsid:dyntaxa.se:Taxon:1002312,urn:lsid:dyntaxa.se:Taxon:1002312,urn:lsid:dyntaxa.se:Taxon:1002324,urn:lsid:dyntaxa.se:Taxon:1002327,urn:lsid:dyntaxa.se:Taxon:1002312,urn:lsid:dyntaxa.se:Taxon:1002306,urn:lsid:dyntaxa.se:Taxon:1002312,urn:lsid:dyntaxa.se:Taxon:1002321,urn:lsid:dyntaxa.se:Taxon:1002312,urn:lsid:dyntaxa.se:Taxon:1002316,urn:lsid:dyntaxa.se:Taxon:1002320,urn:lsid:dyntaxa.se:Taxon:1002320,urn:lsid:dyntaxa.se:Taxon:1002326,urn:lsid:dyntaxa.se:Taxon:1002309,urn:lsid:dyntaxa.se:Taxon:1002325,urn:lsid:dyntaxa.se:Taxon:1002309,urn:lsid:dyntaxa.se:Taxon:1002303,urn:lsid:dyntaxa.se:Taxon:1002303,urn:lsid:dyntaxa.se:Taxon:1002321,urn:lsid:dyntaxa.se:Taxon:1002302,urn:lsid:dyntaxa.se:Taxon:1002325,urn:lsid:dyntaxa.se:Taxon:1002309,urn:lsid:dyntaxa.se:Taxon:1002325,urn:lsid:dyntaxa.se:Taxon:1002324,urn:lsid:dyntaxa.se:Taxon:1002327,urn:lsid:dyntaxa.se:Taxon:1007291,urn:lsid:dyntaxa.se:Taxon:1002310,urn:lsid:dyntaxa.se:Taxon:1002309,urn:lsid:dyntaxa.se:Taxon:1002326,urn:lsid:dyntaxa.se:Taxon:1002326,urn:lsid:dyntaxa.se:Taxon:1002324,urn:lsid:dyntaxa.se:Taxon:1002326,urn:lsid:dyntaxa.se:Taxon:1002324,urn:lsid:dyntaxa.se:Taxon:1002322,urn:lsid:dyntaxa.se:Taxon:1002314,urn:lsid:dyntaxa.se:Taxon:1002310,urn:lsid:dyntaxa.se:Taxon:1002326,urn:lsid:dyntaxa.se:Taxon:1002303,urn:lsid:dyntaxa.se:Taxon:1002321,urn:lsid:dyntaxa.se:Taxon:1002302,urn:lsid:dyntaxa.se:Taxon:1002303,urn:lsid:dyntaxa.se:Taxon:1002303,urn:lsid:dyntaxa.se:Taxon:1002303,urn:lsid:dyntaxa.se:Taxon:1002302,urn:lsid:dyntaxa.se:Taxon:1002324,urn:lsid:dyntaxa.se:Taxon:1002303,urn:lsid:dyntaxa.se:Taxon:1002303,urn:lsid:dyntaxa.se:Taxon:1002312,urn:lsid:dyntaxa.se:Taxon:1002324,urn:lsid:dyntaxa.se:Taxon:1002304,urn:lsid:dyntaxa.se:Taxon:1002304,urn:lsid:dyntaxa.se:Taxon:1002304,urn:lsid:dyntaxa.se:Taxon:1002309,urn:lsid:dyntaxa.se:Taxon:1002325,urn:lsid:dyntaxa.se:Taxon:1002322,urn:lsid:dyntaxa.se:Taxon:1002327,urn:lsid:dyntaxa.se:Taxon:1002302,urn:lsid:dyntaxa.se:Taxon:1002312,urn:lsid:dyntaxa.se:Taxon:1002302,urn:lsid:dyntaxa.se:Taxon:1002322,urn:lsid:dyntaxa.se:Taxon:1002322,urn:lsid:dyntaxa.se:Taxon:1002323,urn:lsid:dyntaxa.se:Taxon:1002324,urn:lsid:dyntaxa.se:Taxon:1002303,urn:lsid:dyntaxa.se:Taxon:1002302,urn:lsid:dyntaxa.se:Taxon:1002326,urn:lsid:dyntaxa.se:Taxon:1002322,urn:lsid:dyntaxa.se:Taxon:1002314,urn:lsid:dyntaxa.se:Taxon:1002319,urn:lsid:dyntaxa.se:Taxon:1002327,urn:lsid:dyntaxa.se:Taxon:1002302,urn:lsid:dyntaxa.se:Taxon:1002327
originalNameUsageID_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nameAccordingToID_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
namePublishedInID_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonConceptID_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scientificName_x,"Leucorrhinia dubia (Vander Linden, 1825)","Aeshna caerulea (Ström, 1783)","Leucorrhinia rubicunda (Linnaeus, 1758)","Sympetrum flaveolum (Linnaeus, 1758)","Cordulegaster boltonii (Donovan, 1807)","Lestes sponsa (Hansemann, 1823)","Lestes sponsa (Hansemann, 1823)","Aeshna caerulea (Ström, 1783)","Aeshna caerulea (Ström, 1783)","Leucorrhinia pectoralis (Charpentier, 1825)","Sympetrum striolatum (Charpentier, 1840)","Aeshna mixta Latreille, 1805","Pyrrhosoma nymphula (Sulzer, 1776)","Aeshna cyanea (Müller, 1764)","Cordulia aenea (Linnaeus, 1758)","Aeshna mixta Latreille, 1805","Brachytron pratense (Müller, 1764)","Cordulegaster boltonii (Donovan, 1807)","Cordulegaster boltonii (Donovan, 1807)","Orthetrum cancellatum (Linnaeus, 1758)","Coenagrion pulchellum (Vander Linden, 1825)","Libellula quadrimaculata Linnaeus, 1758","Coenagrion johanssoni (Wallengren, 1894)","Lestes sponsa (Hansemann, 1823)","Lestes sponsa (Hansemann, 1823)","Cordulia aenea (Linnaeus, 1758)","Calopteryx splendens (Harris, 1780)","Libellula quadrimaculata Linnaeus, 1758","Coenagrion hastulatum (Charpentier, 1825)","Libellula depressa Linnaeus, 1758","Leucorrhinia rubicunda (Linnaeus, 1758)","Sympetrum sanguineum (Müller, 1764)","Erythromma viridulum (Charpentier, 1840)","Enallagma cyathigerum (Charpentier, 1840)","Coenagrion hastulatum (Charpentier, 1825)","Orthetrum cancellatum (Linnaeus, 1758)","Orthetrum cancellatum (Linnaeus, 1758)","Leucorrhinia pectoralis (Charpentier, 1825)","Orthetrum cancellatum (Linnaeus, 1758)","Leucorrhinia caudalis (Charpentier, 1840)","Somatochlora flavomaculata (Vander Linden, 1825)","Anax imperator Leach, 1815","Enallagma cyathigerum (Charpentier, 1840)","Orthetrum cancellatum (Linnaeus, 1758)","Lestes sponsa (Hansemann, 1823)","Cordulia aenea (Linnaeus, 1758)","Calopteryx virgo (Linnaeus, 1758)","Lestes sponsa (Hansemann, 1823)","Lestes sponsa (Hansemann, 1823)","Lestes dryas Kirby, 1890","Calopteryx splendens (Harris, 1780)","Leucorrhinia rubicunda (Linnaeus, 1758)","Lestes dryas Kirby, 1890","Lestes dryas Kirby, 1890","Aeshna mixta Latreille, 1805","Leucorrhinia pectoralis (Charpentier, 1825)","Sympecma fusca (Vander Linden, 1820)","Sympecma fusca (Vander Linden, 1820)","Sympecma fusca (Vander Linden, 1820)","Coenagrion puella (Linnaeus, 1758)","Libellula depressa Linnaeus, 1758","Somatochlora metallica (Vander Linden, 1825)","Sympetrum sanguineum (Müller, 1764)","Calopteryx virgo (Linnaeus, 1758)","Aeshna mixta Latreille, 1805","Calopteryx virgo (Linnaeus, 1758)","Somatochlora arctica (Zetterstedt, 1840)","Somatochlora arctica (Zetterstedt, 1840)","Epitheca bimaculata (Charpentier, 1825)","Leucorrhinia rubicunda (Linnaeus, 1758)","Lestes sponsa (Hansemann, 1823)","Calopteryx splendens (Harris, 1780)","Orthetrum coerulescens (Fabricius, 1798)","Somatochlora flavomaculata (Vander Linden, 1825)","Anax imperator Leach, 1815","Onychogomphus forcipatus (Linnaeus, 1758)","Sympetrum sanguineum (Müller, 1764)","Calopteryx virgo (Linnaeus, 1758)","Sympetrum danae (Sulzer, 1776)"
acceptedNameUsage_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parentNameUsage_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
originalNameUsage_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nameAccordingTo_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
namePublishedIn_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
namePublishedInYear_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
higherClassification_x,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Leucorrhinia,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Aeshnidae | Aeshna,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Leucorrhinia,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Sympetrum,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Cordulegastridae | Cordulegaster,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Lestes,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Lestes,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Aeshnidae | Aeshna,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Aeshnidae | Aeshna,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Leucorrhinia,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Sympetrum,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Aeshnidae | Aeshna,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Coenagrionidae | Pyrrhosoma,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Aeshnidae | Aeshna,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Corduliidae | Cordulia,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Aeshnidae | Aeshna,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Aeshnidae | Brachytron,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Cordulegastridae | Cordulegaster,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Cordulegastridae | Cordulegaster,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Orthetrum,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Coenagrionidae | Coenagrion,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Libellula,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Coenagrionidae | Coenagrion,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Lestes,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Lestes,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Corduliidae | Cordulia,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Calopterygidae | Calopteryx,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Libellula,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Coenagrionidae | Coenagrion,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Libellula,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Leucorrhinia,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Sympetrum,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Coenagrionidae | Erythromma,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Coenagrionidae | Enallagma,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Coenagrionidae | Coenagrion,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Orthetrum,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Orthetrum,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Leucorrhinia,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Orthetrum,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Leucorrhinia,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Corduliidae | Somatochlora,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Aeshnidae | Anax,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Coenagrionidae | Enallagma,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Orthetrum,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Lestes,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Corduliidae | Cordulia,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Calopterygidae | Calopteryx,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Lestes,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Lestes,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Lestes,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Calopterygidae | Calopteryx,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Leucorrhinia,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Lestes,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Lestes,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Aeshnidae | Aeshna,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Leucorrhinia,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Sympecma,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Sympecma,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Sympecma,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Coenagrionidae | Coenagrion,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Libellula,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Corduliidae | Somatochlora,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Sympetrum,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Calopterygidae | Calopteryx,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Aeshnidae | Aeshna,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Calopterygidae | Calopteryx,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Corduliidae | Somatochlora,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Corduliidae | Somatochlora,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Corduliidae | Epitheca,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Leucorrhinia,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Lestidae | Lestes,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Calopterygidae | Calopteryx,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Orthetrum,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Corduliidae | Somatochlora,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Aeshnidae | Anax,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Gomphidae | Onychogomphus,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Sympetrum,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Zygoptera | Calopterygidae | Calopteryx,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Odonata | Anisoptera | Libellulidae | Sympetrum
kingdom_x,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia,Animalia
phylum_x,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
class_x,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta
